Respondent ,Gender ,Education ,Occupation ,Age ,Online shopping frequency ( self perception ),I prefer online shopping because it is time saving ,I prefer online shopping because it leads to less direct face to face interaction ,I prefer online shopping of convenience of delivery and online checking ,I prefer online shopping because availability of a variety of Goods ,I prefer online shopping because there is no hassle of parking ,I prefer online shopping because there is easy exchange or return of goods process available ,I prefer e shopping because there is customer help available easily ,I like the promotional effect of e shopping ,I like various interactive features on e commerce website  ,I prefer online shopping because of great after purchase care policy ,I prefer the online shopping because easy navigation of website and discovering new products easily ,I prefer online shopping because it is very cost effective  ,I prefer online shopping because I am easily able to compare prices ,"I prefer online shopping because it may take care of additional cost of software , house installations and other related costs of purchasing  such as transport",I prefer online shopping because of nominal delivery fees,I prefer online shopping because it makes me look cool and modern ,I prefer online shopping people give good feedback,I prefer online shopping because it gives me reason to bond with other people ,I prefer online shopping because it helps me quarantine during COVID ,I prefer online shopping because it helps me follow WHO Guideline to ,COVID has prompted me buy new stuff online ,Govt Guidelines during COVID has prompted online shopping  ,COVID has substantially increased my online frequency   ,"During COVID , my experience of online sopping has improved substantially ","During COVID , my online shopping expenditure has increased considerably ",I like buying online to feel happy ( online retail therapy)
Customer 1 ,Female,Under Graduate,Student,19-29,Normally,4,4,5,5,3,4,4,5,4,3,5,5,5,3,4,2,4,1,4,4,5,4,5,4,4,
Customer 2,Female,Under Graduate,Student,19-29,Normally,3,3,4,5,4,5,3,3,2,4,4,5,5,4,3,2,4,3,4,4,3,4,2,4,2,
Customer 3,Male,Under Graduate,Student,19-29,Normally,5,3,5,4,4,3,3,4,4,3,4,4,5,4,4,4,2,1,4,4,5,4,4,4,5,
Customer 4,Male,Under Graduate,Student,19-29,Regularly,5,4,2,5,4,5,5,4,4,2,5,4,5,4,4,5,4,2,5,4,5,5,5,5,4,
Customer 5,Male,Under Graduate,Student,19-29,Very Often,4,5,4,3,5,5,4,5,3,3,4,3,5,4,3,2,3,1,5,3,2,3,4,3,4,
Customer 6,Female,Under Graduate,Student,19-29,Normally,4,2,5,4,3,5,5,4,3,3,4,4,5,5,4,2,4,1,5,5,1,4,3,2,2,
Customer 7,Male,Under Graduate,Student,19-29,Very Often,5,5,2,5,4,4,2,2,3,2,4,5,5,4,2,2,1,1,4,4,5,5,5,3,5,
Customer 8,Female,High School,Student,19-29,Normally,5,3,5,5,4,4,4,4,3,5,5,4,5,4,4,1,5,1,5,4,4,3,3,3,1,
Customer 9,Female,Under Graduate,Student,19-29,Normally,4,3,4,5,3,5,4,4,4,3,4,4,4,4,3,3,4,2,5,4,4,5,4,4,5,
Customer 10,Male,Under Graduate,Student,19-29,Normally,4,3,4,5,3,4,5,5,4,5,5,4,5,5,4,1,4,1,3,3,4,5,4,5,4,
Customer 11,Female,Under Graduate,Student,19-29,Normally,4,3,4,5,5,4,4,4,4,4,5,4,5,3,4,3,3,2,4,4,4,4,3,4,4,
